NOME SUBTIPO DE CURSOS;CÓDIGO CURSO;CURSO;EIXO TECNOLÓGICO;MODALIDADE;CARGA HORÁRIA CURSO;SITUACAO ATIVO;CÓDIGO UNIDADE DE ENSINO;UNIDADE DE ENSINO;MUNICÍPIO;UF;CÓDIGO MUNICÍPIO
TÉCNICO;70;TÉCNICO EM HOSPEDAGEM;TURISMO, HOSPITALIDADE E LAZER;EDUCAÇÃO PRESENCIAL;800;ATIVO;43888;EEEFM JOSÉ ROCHA SOBRINHO;BANANEIRAS;PB;2501500
TÉCNICO;72;TÉCNICO EM RESTAURANTE E BAR;TURISMO, HOSPITALIDADE E LAZER;EDUCAÇÃO PRESENCIAL;800;ATIVO;43888;EEEFM JOSÉ ROCHA SOBRINHO;BANANEIRAS;PB;2501500
TÉCNICO;75;TÉCNICO EM MANUTENÇÃO E SUPORTE EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO PRESENCIAL;1000;ATIVO;43888;EEEFM JOSÉ ROCHA SOBRINHO;BANANEIRAS;PB;2501500
TÉCNICO;121;TÉCNICO EM AGROINDÚSTRIA;PRODUÇÃO ALIMENTÍCIA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;175;TÉCNICO EM AQUICULTURA;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1000;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;174;TÉCNICO EM AGROPECUÁRIA;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;18;TÉCNICO EM NUTRIÇÃO E DIETÉTICA;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;147;TÉCNICO EM PAISAGISMO;PRODUÇÃO CULTURAL E DESIGN;EDUCAÇÃO PRESENCIAL;1000;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;278177;TÉCNICO EM LABORATÓRIO DE CIÊNCIAS DA NATUREZA;DESENVOLVIMENTO EDUCACIONAL E SOCIAL;EDUCAÇÃO PRESENCIAL;800;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;73;TÉCNICO EM INFORMÁTICA;INFORMAÇÃO E COMUNICAÇÃO;EDUCAÇÃO A DISTÂNCIA;1200;ATIVO;3565;UNIVERSIDADE FEDERAL DA PARAÍBA - COLÉGIO AGRÍCOLA VIDAL DE NEGREIROS DA UFPB;BANANEIRAS;PB;2501500
TÉCNICO;174;TÉCNICO EM AGROPECUÁRIA;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42921;ESCOLA AGRICOLA ASSIS CHATEAUBRIAND-UEPB;LAGOA SECA;PB;2508307
TÉCNICO;121;TÉCNICO EM AGROINDÚSTRIA;PRODUÇÃO ALIMENTÍCIA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;42921;ESCOLA AGRICOLA ASSIS CHATEAUBRIAND-UEPB;LAGOA SECA;PB;2508307
TÉCNICO;16;TÉCNICO EM MEIO AMBIENTE;AMBIENTE E SAÚDE;EDUCAÇÃO PRESENCIAL;1200;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;27;TÉCNICO EM SEGURANÇA DO TRABALHO;SEGURANÇA;EDUCAÇÃO PRESENCIAL;1200;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;185;TÉCNICO EM ZOOTECNIA;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;50;TÉCNICO EM ADMINISTRAÇÃO;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;174;TÉCNICO EM AGROPECUÁRIA;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;173;TÉCNICO EM AGRONEGÓCIO;RECURSOS NATURAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;30701;CETEP SANTA BERNADETE;QUEIMADAS;BA;2925808
TÉCNICO;40;TÉCNICO EM ELETROTÉCNICA;CONTROLE E PROCESSOS INDUSTRIAIS;EDUCAÇÃO PRESENCIAL;1200;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;57;TÉCNICO EM MARKETING;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
TÉCNICO;53;TÉCNICO EM CONTABILIDADE;GESTÃO E NEGÓCIOS;EDUCAÇÃO PRESENCIAL;800;ATIVO;44720; AMARO DA LUZ SERVIÇO DE ENSINO LTDA;SANTA RITA;PB;2513703
